model,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,no_of_owner,omv,arf,accessories,model_make_id,model_name,model_trim,model_year,model_body,model_engine_cyl,model_engine_fuel,model_drive,model_transmission_type,model_seats,model_weight_kg,model_fuel_cap_l
Kia Stinger 3.3A Sunroof,132000,25930,49645,3342,272,15-May-2018,4.06,1,40636,48891,"8"" infotainment W/ Carplay & Harman Kardon Sound System. Brembo BBK. HUD. Launch Control. Wireless Charger. 5 Drive Modes. Electronic Safety Features",59.0,Stinger,13965.0,2018.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1637.641723356009,60.18150000000001
BMW X3 xDrive35i Sunroof ,165000,16490,65000,2979,225,18-Aug-2014,10.0,2,63368,86063,Per factory fitted accessories.,148.0,X3,24181.0,2014.0,Sport Utility Vehicles,4.0,Premium Unleaded (Required),All Wheel Drive,Automatic,5.0,1844.8979591836733,66.9945
Audi A4 2.0A TFSI S-tronic,106800,18090,55000,1984,140,15-Jan-2019,4.81,2,33752,39253,"LED headlights, keyless, 3 zone climate control. Audi drive select, Audi virtual cockpit, electric seats, reverse camera.",104.0,A4,9256.0,2019.0,Sedan,I4,premium unleaded (recommended),front wheel drive,7-speed automated manual,5.0,1564.625850340136,57.910500000000006
Subaru Forester 2.0i-L Sunroof,38800,14810,89033,1995,110,29-Apr-2016,2.02,2,15349,15349,"DRL, Electric leather seats, Paddle Shift, Keyless Entry/Start, Reverse Camera/Sensor, HID Auto Head Lights, X-Mode, Auto Hold, Auto folding mirrors",354.0,Forester,20620.0,2016.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1643.5374149659865,60.18150000000001
BMW 2 Series 216i Gran Tourer,113800,16580,70100,1499,80,23-Dec-2019,5.75,2,31966,36753,"Original sport rims, BMW iDrive with Bluetooth, reverse camera with park distance control, road sign information, lane keep assist. Collision warning.",140.0,2 Series,9337.0,2019.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1668.9342403628118,51.8545
Mercedes-Benz GLC-Class GLC250 Coupe AMG Line 4MATIC,183888,26980,43000,1991,155,18-Oct-2019,5.57,2,52728,66911,"Bluetooth/audio sound system, 2 x electric memory leather seats, auto tailgate, rear knock down seat, side step.",307.0,GLC-Class,11188.0,2019.0,SUV,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,5.0,1881.6326530612243,65.859
Mercedes-Benz C-Class C180 Avantgarde,136900,22140,40000,1595,115,10-Jun-2019,5.22,1,36204,42686,"New gen multi function steering, Bluetooth interface, parking assist, Parktronic, reverse camera, hands free boot access, Apple CarPlay/Android Auto.",300.0,C-Class,11145.0,2019.0,Coupe,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,4.0,1804.53514739229,65.859
BMW 5 Series 520i Luxury,113800,22430,80000,1998,135,26-Dec-2017,3.76,1,47763,58869,"360 surround cameras, soft close doors, electric memory seats, ambient lighting, original MMI audio, navi, Bluetooth/steering controls gesture control",142.0,5 Series,15416.0,2017.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1698.8662131519277,68.13
Porsche Cayenne 3.6A Platinum Edition,165998,38120,54035,3598,220,27-Oct-2016,2.59,3,89992,133986,"Sports rims, electric seats, electric tailgate, reverse sensors, touch screen audio system, Bluetooth, cruise control, retractable mirrors.",339.0,Cayenne,20351.0,2016.0,SUV,V6,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,2035.374149659864,99.924
Toyota Corolla Altis 1.6A Elegance,72800,15030,65000,1598,96,27-Apr-2018,4.01,1,21690,22366,"Factory Fitted Infotainment System, Bluetooth, Leather Interior, Multi Function Steering, Retractable Side Mirrors, Reverse Camera And Parking Sensor.",521.0,Corolla iM,14946.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1334.6938775510205,52.99
Audi Q3 1.4A TFSI S-tronic,151900,21350,10000,1395,110,12-Aug-2020,6.39,1,27743,30841,"Audi MMI infotainment system touch screen, virtual cockpit, 360 degree camera, electric tailgate, keyless entry, electric seats with lumbar control!",6.0,Q3,6403.0,2020.0,SUV,I4,premium unleaded (recommended),all wheel drive,8-speed shiftable automatic,5.0,1770.9750566893424,60.18150000000001
Volkswagen Golf GTI 5DR Sunroof,209900,23070,10000,1984,180,28-Apr-2022,8.01,1,38484,45878,"Harman Kardon, Aircon Seats! HUD, blind spot indicator, CarPlay, wireless charging, paddle shifter, NAV, Ambient Light, Titanium Silver Side Mirrors!",385.0,Golf,3394.0,2022.0,Compact Cars,4.0,Diesel,Front Wheel Driv,Automated Manual,5.0,1411.7913832199547,49.962
Mercedes-Benz C-Class C180 Avantgarde,51888,22070,105000,1595,115,1-Oct-2015,0.52,3,35294,36412,"Keyless entry/start, reverse sensor/cam, Bluetooth, electric tailgate, ambient lighting, dual zone climate control, auto LED headlights, sports rims.",300.0,C-Class,22889.0,2015.0,Sedan,V8,premium unleaded (required),rear wheel drive,7-speed shiftable automatic,5.0,1748.7528344671202,68.13
Mazda 3 1.5A Sunroof,52800,13050,95000,1496,88,25-Sep-2017,3.51,3,18998,13998,"Sport rim, dynamics big brake kit, newly install Apple CarPlay. Worry free about car as well maintain unit!",286.0,3,17105.0,2017.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1381.40589569161,49.962
Volkswagen Golf 1.2A TSI ,18800,3760,109300,1197,77,20-Nov-2014,5.0,3,18097,5000,"Auto headlights, electric folding side mirror, electric park brake, brake hold, auto dimming mirrors, leather upholstery.",419.0,Golf,26293.0,2014.0,Compact Cars,5.0,Regular Unleaded,Front Wheel Driv,Automatic,5.0,1406.8027210884354,54.8825
Honda HR-V 1.5A DX,92800,17680,61500,1496,96,28-Nov-2018,4.68,1,19842,19842,"LED headlights, Bluetooth, multi function steering wheel, reverse camera.",40.0,HR-V,13526.0,2018.0,SUV,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1322.9024943310658,49.962
Mercedes-Benz A-Class A180 Progressive,109800,18830,53623,1332,100,28-Feb-2019,4.93,2,29706,33589,"10.25"" MBUX infotainment system, Apple & Android CarPlay, ambient lighting, electric memory seats,reverse camera with park assist,active brake assist.",298.0,A-Class,11127.0,2019.0,Sedan,I4,premium unleaded (required),front wheel drive,7-speed automated manual,5.0,1489.795918367347,51.0975
Honda Civic 1.6A VTi,93000,15020,99251,1597,92,23-Sep-2019,5.5,1,20433,20607,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,216.0,Civic,10401.0,2019.0,Hatchback,I4,premium unleaded (recommended),front wheel drive,continuously variable-speed automatic,5.0,1342.857142857143,46.934000000000005
Mercedes-Benz A-Class A200 Style,64800,17510,135000,1595,115,4-Apr-2017,3.03,2,25996,23395,"Dual electric memory seats, sports rims, factory fitted audio, Bluetooth, auto retractable mirrors, all round park assist, reverse camera, solar film.",301.0,CLA-Class,17178.0,2017.0,Sedan,I4,premium unleaded (required),all wheel drive,7-speed shiftable automatic,5.0,1564.625850340136,56.01800000000001
BMW 5 Series 520i,159800,21770,60150,1998,135,23-Jan-2020,5.83,1,51807,65253,"Soft/suction door closing,auto tailgate,electronic memory seats with comfort access,wireless charging,BMWtouch command,Apple CarPlay/Android.",142.0,5 Series,6502.0,2020.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1933.7868480725624,45.7985
BMW 3 Series 318i,103500,18240,87620,1499,100,29-Oct-2018,4.6,3,33544,38962,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,9.0,3 Series,12371.0,2018.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1528.344671201814,59.803
Audi A6 Mild Hybrid 2.0A TFSI S-tronic Design,190000,23450,28458,1984,140,30-Mar-2021,7.02,1,41877,50628,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,106.0,A6,3571.0,2021.0,Midsize Cars,4.0,Premium Unleaded (Required),Front Wheel Driv,Automatic,5.0,1859.8639455782316,73.0505
Subaru Impreza 4D 2.0i-S EyeSight,87000,14540,56223,1995,115,27-Sep-2019,5.51,2,13503,13503,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,79.0,Impreza,11788.0,2019.0,Hatchback,flat 4,regular unleaded,all wheel drive,5-speed manual,5.0,1353.7414965986395,49.962
BMW X1 sDrive20i M-Sport,150333,19730,73000,1998,141,27-Jul-2020,6.34,2,41520,50128,"19"" M-Sports rims, M-Sports styling, M-Sport leather sport seats, iDrive system, USB C-port, navigation, 8 ambient lighting, Keyless Entry.",147.0,X1,6538.0,2020.0,SUV,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1611.7913832199547,60.938500000000005
Volkswagen Golf 1.4A TSI,46000,14680,106077,1395,92,30-Dec-2016,2.77,2,20409,10573,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,385.0,Golf GTI,20944.0,2016.0,Hatchback,I4,premium unleaded (recommended),front wheel drive,6-speed automated manual,5.0,1399.5464852607709,49.962
BMW 2 Series 216d Gran Tourer,62500,17380,114734,1496,85,26-Jan-2017,2.84,1,31478,26070,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,140.0,2 Series,15381.0,2017.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1668.9342403628118,51.8545
Nissan Note 1.2A DIG-S ,25800,12240,44800,1198,72,16-Feb-2016,0.9,1,13923,5000,View specs of the Nissan Note (2013-2020),498.0,Versa Note,20316.0,2016.0,Hatchback,I4,regular unleaded,front wheel drive,5-speed manual,5.0,1094.7845804988665,40.87800000000001
Lamborghini Gallardo LP550-2 ,299800,39820,55000,5204,405,6-Jan-2012,7.52,6,193386,193386,"COE Car, Premium Ad Car, Low Mileage Car",638.0,Gallardo,30251.0,2012.0,Coupe,10.0,Gasoline - Premium,AWD,Manual,2.0,1379.5918367346935,90.083
Suzuki Swift Sport 1.6M ,66000,12990,290000,1586,92,20-Apr-2009,5.08,5,14580,14580,"Sunline 60RRS single tip, PJS fat tummy intake, D2 coilovers, lightened flywheel, 4.7 FD, tm square CF fender, Greddy CF lip and much more.",suzuki,Swift,1.5 GLS,2009.0,Hatchback,4.0,Gasoline,4WD,Manual,5.0,1295.0,43.0
Audi A3 Sportback Mild Hybrid 1.5A TFSI S-tronic,150000,17530,26394,1498,110,25-Mar-2022,8.01,2,30075,19105,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,103.0,A3,613.0,2022.0,Compact Cars,4.0,Premium Unleaded (Recommended),Front Wheel Driv,Automated Manual,5.0,1584.580498866213,54.8825
Hyundai Accent 1.4A,55800,12290,36000,1368,73,9-Jun-2018,4.21,1,7951,7951,"Sport rims, Leather seats, Android audio system, Reverse camera, Multi-function steering, Knockdown rear seats.",223.0,Accent,13566.0,2018.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1214.9659863945578,45.041500000000006
BMW 4 Series 420i Gran Coupe,95688,19420,65000,1998,135,27-Dec-2017,3.76,2,41570,45198,Fully stock condition.,10.0,4 Series,15406.0,2017.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1836.7346938775509,59.803
BMW 2 Series 216i Gran Tourer Luxury,86800,15940,87700,1499,75,27-Jun-2018,4.26,1,32596,37635,Luxury highest spec model. LED day light. Auto tailgate. Park assist with camera. Carplay. Electric seats. Rear ac. Drive mode select.,140.0,2 Series,12364.0,2018.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1668.9342403628118,51.8545
Toyota Corolla Altis 1.6A Elegance,52800,15720,131004,1598,90,12-Dec-2016,2.72,2,19990,19990,"17"" Sports Rims, Electric Leather Seats, Toyota DVD Player With GPS, Reverse Sensors/Camera, Solar Film, Fog Lights, Think-Ware In-Car Camera.",364.0,Corolla,20697.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,4-speed automatic,5.0,1278.9115646258504,49.962
Nissan Note 1.2A,70800,12010,42410,1198,58,27-Nov-2019,5.68,2,13465,5000,"Keyless entry/start/stop, knockdown rear seats, reverse sensors, upgraded Android audio player, leather upholstery.",498.0,Versa Note,11517.0,2019.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1121.9954648526077,40.87800000000001
Audi S4 3.0A TFSI Quattro S-tronic ,139888,17610,160000,2995,245,29-Feb-2012,7.94,4,63336,63336,"Keyless entry. Push button start/stop. Akrapovic exhaust, front and back cameras, solar film, bodykit, sports rims.",125.0,S4,29051.0,2012.0,Station Wagon,6.0,Gasoline,AWD,6-speed manual,5.0,1744.6712018140588,63.9665
Honda HR-V 1.5A LX,52800,16000,75000,1496,96,23-Nov-2016,2.67,1,23648,20108,"Leather Seats, Sport Rims, Electric Park Brake, Reverse Sensors/Camera, Factory Fitted Audio System, Solar Film, Knockdown Rear Seats, Roof Rack.",40.0,HR-V,19534.0,2016.0,SUV,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1322.9024943310658,49.962
Audi A4 2.0A TFSI S-tronic,95800,18070,82000,1984,140,13-Jun-2018,4.22,2,33419,38787,"Factory Fitted Audio System, Bluetooth, Electric Seat, Sport Rims, Leather Seats, Auto Headlamp/climatic Aircon, Reverse Sensors/camera, Keyless.",104.0,A4,12263.0,2018.0,Sedan,I4,premium unleaded (recommended),all wheel drive,7-speed automated manual,5.0,1644.4444444444443,57.910500000000006
BMW X3 xDrive30i,132000,26190,60200,1998,185,27-Feb-2018,3.93,3,47103,57945,"BMW Touch Screen iDrive, Bluetooth, Navigation System, Park Assist, Reverse Camera, Electric Seats, Electric Tailgate.",148.0,X3,12437.0,2018.0,SUV,I6,premium unleaded (recommended),all wheel drive,8-speed shiftable automatic,5.0,1939.6825396825395,65.102
BMW X3 xDrive30i,132000,26190,60200,1998,185,27-Feb-2018,3.93,3,47103,57945,"BMW Touch Screen iDrive, Bluetooth, Navigation System, Park Assist, Reverse Camera, Electric Seats, Electric Tailgate.",148.0,X3,12437.0,2018.0,SUV,I6,premium unleaded (recommended),all wheel drive,8-speed shiftable automatic,5.0,1939.6825396825395,65.102
BMW 4 Series 420i Gran Coupe Sunroof,45800,20030,79000,1997,135,28-May-2015,0.18,1,40920,44288,"BMW iDrive with Bluetooth/navigation/connected drive, electric memory seats, comfort access, USB/BT audio, park distance control, keyless/start.",10.0,4 Series,21277.0,2015.0,Coupe,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,4.0,1585.0340136054422,59.803
Audi A4 1.4A TFSI S-tronic,55800,16210,138912,1395,110,31-Oct-2016,2.61,3,32161,27026,"Keyless, Audi Drive Select, Paddle Shift, Electric Seats, Rear Aircon, Cruise Control, Apple And Android CarPlay, Auto Climate Control. In Car Camera.",104.0,A4,18287.0,2016.0,Sedan,I4,premium unleaded (required),front wheel drive,continuously variable-speed automatic,5.0,1624.9433106575964,60.938500000000005
BMW 5 Series 530i M-Sport,132000,22770,100454,1998,185,10-Apr-2018,4.05,3,59713,79484,"Multi function steering, paddle shifters, leather seats, electric tailgate, infotainment system, Bluetooth connectivity, driver power seats and more!",142.0,5 Series,12400.0,2018.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1934.6938775510205,45.7985
Mercedes-Benz CLA-Class CLA250 AMG Line Sport ,148800,14870,72712,1991,155,30-Apr-2014,10.0,4,32507,27510,"CLA45 diffuser, Renntech bodykit, 18"" WedsSport TC105X on 80% meat Michelin PS4S, Brembo BBK, Akrapovic, K&N, turbo muffler delete, diverter valve etc",301.0,CLA-Class,25501.0,2014.0,Compact Cars,4.0,Premium Unleaded (Recommended),Front Wheel Driv,Automated Manual,5.0,1479.3650793650793,49.5835
Lamborghini Gallardo LP570-4 Superleggera ,308000,47780,42000,5204,412,24-Sep-2010,6.44,6,257330,257330,"Carbon Fibre Interior Details; Mirror Covers And Spoiler. Tri-colour Brake Calipers And 19"" Black Rims",638.0,Gallardo,34834.0,2010.0,Coupe,10.0,Gasoline,Rear,Manual,2.0,1379.5918367346935,90.083
Jeep Renegade Limited 1.4A,65800,14960,79535,1368,103,20-Sep-2017,3.49,1,24993,26991,"Multi Function Steering Wheel, Factory Fitted Infotainment System/BT/reverse Camera/sensors, Cruise Control. Blind Spot Assist, Electric Park Brake.",251.0,Renegade,16846.0,2017.0,SUV,I4,premium unleaded (recommended),front wheel drive,6-speed manual,5.0,1371.8820861678005,48.0695
Hyundai Elantra 1.6A GLS S ,57800,12500,50515,1591,93,19-May-2018,4.07,2,11605,11605,"Powerful and efficient 1.6L 4 cylinder 16 valves engine mated to a smooth 6 speed auto transmission, ABS, SRS airbags. View specs of the Hyundai Elantra (2016-2018)",440.0,Elantra GT,13580.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1334.6938775510205,52.99
Honda HR-V 1.5A LX,93200,14920,66000,1496,96,3-Sep-2019,5.45,2,22652,23713,"Leather seats, factory fitted audio system with reverse camera/sensors, solar film, fog lights, roof rails, dashcam.",40.0,HR-V,10433.0,2019.0,SUV,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1341.9501133786848,49.962
Maserati Levante 3.0A GranSport,248800,35940,96313,2979,257,3-Apr-2019,5.03,4,91041,135874,"New Perrili PZero Tyres on 20"" Scratchless Rims Bundled with BBK. Baseball brown leather further accentuate the timeless design & color combination.",283.0,Levante,11045.0,2019.0,SUV,V6,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,2108.843537414966,79.8635
Rolls-Royce Phantom ,498000,81290,48500,6749,338,23-Apr-2010,6.0,2,258255,258255,"Face Lifted Series 2 Bodykit. Series 2 Front Headlight. Grey Leather Interior W Individual Electronic Memory Seats. Upgraded 23"" Black Badge Rims.",456.0,Phantom,35230.0,2010.0,Sedan,12.0,Gasoline,Rear,Automatic,5.0,2629.4784580498867,99.924
BMW 5 Series 530i,105800,21720,94700,1998,185,18-Aug-2017,3.4,2,50933,63680,"Sports rims, leather seats, navigation and Bluetooth, advance key, wireless charging, auto tailgate, ambient lights.",142.0,5 Series,15416.0,2017.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1698.8662131519277,68.13
Mercedes-Benz A-Class A180 Urban,37500,18300,98212,1595,90,2-Oct-2015,0.52,3,22896,19055,Dun listen to your frd who tells you to buy the cheapest! Will set u back easily $5-8k in maintainece! Save money and get this best kept A180 today!,301.0,CLA-Class,22891.0,2015.0,Sedan,I4,premium unleaded (required),front wheel drive,7-speed automated manual,5.0,1484.8072562358277,49.5835
McLaren 720S,680000,103500,30000,3994,530,4-Feb-2019,4.87,3,210577,351039,"Electric memory seats, carbon ceramic brakes. $30k+ full exhaust system. $50k+ carbon fiber upgrade. $20k rims w tyres. Almost $100k+ spend on upgrade",293.0,720S,11122.0,2019.0,Coupe,V8,premium unleaded (required),rear wheel drive,7-speed automated manual,2.0,1423.5827664399092,71.915
Toyota Camry 2.5A,54800,15720,100448,2494,133,29-Aug-2016,2.43,2,29296,33015,"17"" sports rims, full leather seats, auto headlamps, audio with BT, front/rear recording cameras, reverse cam/sensors, rear roller blind, rear aircon.",84.0,Camry,20686.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1469.3877551020407,64.345
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,222800,23040,6000,1496,140,17-Nov-2022,8.65,1,38995,46593,"Full digital 12.3"" instrument display, 11.9"" MBUX touchscreen infotainment, wireless Apple CarPlay/andorid auto, ambient lights, wireless charging.",300.0,C-Class,2531.0,2022.0,Compact Cars,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,4.0,1774.6031746031745,65.859
Jaguar XJ 2.0A TSS Premium Luxury LWB Sunroof,100100,20720,136000,1999,177,21-Apr-2016,2.08,3,78902,114024,"Electric Tailgate, Soft Closing Doors, Keyless Entry, Climate Controls, Dual Sunroof With Rear Control, Digital Cockpit.",490.0,XJ-Series,19688.0,2016.0,Sedan,V6,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1764.625850340136,82.1345
Infiniti Q50 2.0A T Sport Sunroof,48800,16050,127000,1991,155,2-Feb-2016,0.86,1,32639,37695,"Factory Fit 18"" Enkei sports rim! Dual touch screen with navigation! 360 all round camera! Rear aircon! Full premium leather interior! 13.7km/l!",45.0,Q50,19635.0,2016.0,Sedan,I4,premium unleaded (required),rear wheel drive,7-speed shiftable automatic,5.0,1662.5850340136053,75.7
BMW X1 sDrive18i M-Sport,173800,18230,13000,1499,100,31-May-2022,8.19,1,40570,48798,"Original 18"" M-Sport sport rims, power tailgate, BMW connected drive media player, reverse camera, BMW front/rear recorder, GPS navigator.",147.0,X1,817.0,2022.0,Sport Utility Vehicles,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,5.0,1611.7913832199547,60.938500000000005
Mercedes-Benz E-Class E200 Exclusive,99800,22390,94000,1991,135,5-Jan-2017,2.79,2,57065,74717,"Original 18"" sport rims, MBUX, Bluetooth, 360 reverse camera, GPS navigator, suction doors, rear roller blind, front/rear cam recorder.",303.0,E-Class,17195.0,2017.0,Sedan,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,5.0,1879.8185941043084,79.8635
BMW X3 xDrive30i xLine,182800,25920,60800,1998,185,30-Dec-2019,5.77,1,52323,66182,"18"" sport rims, BMW ID7 with touch screen, 360 reverse camera with park assist, BMW 3.0 eye recording camera, ambient lights, CarPlay/Android Auto.",148.0,X3,9402.0,2019.0,SUV,I6,premium unleaded (recommended),all wheel drive,8-speed shiftable automatic,5.0,1957.8231292517007,66.9945
Mercedes-Benz CLS-Class CLS350 Mild Hybrid Sunroof,245000,35210,67000,1991,230,30-May-2019,5.19,1,84756,124561,"Original AMG kit, AMG sport rim, Dual electric memory seat, keyless entry/start/stop, rear aircon, auto rain sensor, infotainment unit, auto tailgate.",302.0,CLS-Class,11156.0,2019.0,Sedan,I6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,5.0,2016.7800453514735,79.8635
Mercedes-Benz S-Class S450L Mild Hybrid AMG Line 4MATIC Sunroof,428000,43470,53000,2999,286,7-Jan-2022,7.79,1,114517,178131,"MBUX 12.8"" Oled Central Display. 360 Camera. Apple CarPlay/android. Nappa Leather. Burmester 3d Surround. Flush Fitting Door Handle With Power Closing",311.0,S-Class,2588.0,2022.0,Large Cars,8.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,7.0,2629.4784580498867,90.083
Toyota Corolla Altis 1.6A Elegance,54800,15060,120000,1598,90,14-Mar-2017,2.97,1,19995,19995,"Electric Leather seats, keyless entry. Push start/stop. Reverse camera. Factory fitted audio player. Multi steering function.",364.0,Corolla,17912.0,2017.0,Sedan,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1299.3197278911564,49.962
Mazda 3 1.5A Deluxe Sunroof,68800,14030,85000,1496,88,26-Jun-2018,4.26,1,18004,18004,"Sunroof! Head-Up Display! Electrical Leather Seats, Original Sports Rims, Factory Fitted Audio With NAV/Steering Controls, Reverse Camera/Sensors.",286.0,3,14166.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1381.40589569161,49.962
Lexus NX Turbo NX200t Luxury Sunroof,88000,23460,107000,1998,175,28-Sep-2016,2.51,3,47062,57887,"Keyless Entry/start/stop, Power Tailgate, Factory Fitted Audio System With Bluetooth, Navi, Drive Mode Select, Electric Seats And Paddle Shifters.",274.0,NX,19899.0,2016.0,SUV,I4,premium unleaded (required),front wheel drive,6-speed shiftable automatic,5.0,1786.8480725623583,60.18150000000001
Mazda 3 1.5A Deluxe Sunroof,51998,14060,67142,1496,88,30-May-2017,3.19,3,19382,14382,"CarPlay with upgraded speakers, multi function steering wheel, keyless entry/start, Sunroof, driver's electric seat. Simota air intake.",286.0,3,17105.0,2017.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1381.40589569161,49.962
Porsche Panamera S 4.8A PDK ,128500,20590,150000,4806,294,18-Jun-2010,6.24,6,128402,128402,Premium Bose Surround Sound System. Fully electric seats with memory functions. Auto tailgate. Keyless entry/start/stop. All round parking sensors.,342.0,Panamera,35227.0,2010.0,Hatchback,8.0,Gasoline,AWD,Manual,4.0,1859.8639455782316,99.924
Mazda CX-5 2.0A Premium,126100,18360,50000,1998,121,23-Mar-2020,6.0,2,28411,31776,"Heads up display, 360 degree camera, electric seats, keyless entry, push start, auto tailgate,multi function steering control,sport pedal, Bose system",288.0,CX-5,8198.0,2020.0,SUV,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1605.8956916099771,56.01800000000001
BMW 5 Series 520i Luxury,110800,22570,69000,1998,135,30-Oct-2017,3.6,1,47763,58869,"BMW touch command, GPS, soft closing, connected drive, auto adaptive LED/DRL headlight, 18"" s/rims, wireless charging, 360 view camera, auto/kick boot",142.0,5 Series,15416.0,2017.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1698.8662131519277,68.13
Hyundai Elantra 1.6A GLS S ,57800,11990,54900,1591,93,12-Jul-2018,4.3,1,12340,12340,"Responsive and fuel efficient 1.6L dual CVVT engine, 6 speed automatic transmission, ABS, airbags, cruise control, auto headlights. View specs of the Hyundai Elantra (2016-2018)",440.0,Elantra GT,13580.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1334.6938775510205,52.99
BMW 4 Series 420i Gran Coupe M-Sport,112800,23390,62000,1998,135,10-Oct-2017,3.55,2,51407,59533,"18"" staggered M-Sports rims, M-Sports steering wheel, keyless start/entry, comfort access boot release, BMW iDrive system.",10.0,4 Series,15406.0,2017.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1836.7346938775509,59.803
Audi A6 1.8A TFSI Ultra,56900,17730,100000,1798,140,30-Mar-2016,2.02,2,39418,42186,"Factory fitted audio system, Bluetooth/navigation with 4G LTE retractable Android head unit, electric memory seats, sports rims, auto headlamp.",106.0,A6,18299.0,2016.0,Sedan,I4,premium unleaded (recommended),front wheel drive,7-speed automated manual,5.0,1724.7165532879817,74.94300000000001
Hyundai Accent 1.4A,33100,12980,89000,1368,73,3-May-2016,2.03,2,11366,11366,Sport rims. Leather seats. Knock down rear seats. Remote keys. Factory fitted audio player. Reverse sensors.,223.0,Accent,19567.0,2016.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1158.7301587301588,43.149
Volvo V60 Cross Country Mild Hybrid B5 2.0A,199800,22120,46000,1969,184,22-Apr-2022,8.08,1,35606,41849,"Facelift 12.3"" digital panel. Apple/Android CarPlay. Premium leather seats. High quality audio system. 18"" Volvo sports rims. Multi function steering.",91.0,V60,3454.0,2022.0,Small Station Wagons,5.0,Regular Unleaded,All Wheel Drive,Automatic,5.0,1821.7687074829928,60.18150000000001
BMW 2 Series 216d Gran Tourer,60800,17920,103000,1496,85,21-Nov-2016,2.66,1,31478,26070,"Factory fitted audio system with Bluetooth/navigation, reverse camera, sports rims, contactless boot release tailgate, memory seats, sport/eco modes.",140.0,2 Series,18367.0,2016.0,Coupe,I4,premium unleaded (required),rear wheel drive,6-speed manual,4.0,1494.331065759637,51.8545
